Comment,Designator,Footprint,LCSC,Quantity
1000uF,C25,C_Radial_D12.5mm_H20.0mm_P5.00mm,C88743,1
2.5m,R34,R_2512_6332Metric,C7420002,1
470uF,"C10,C12,C14,C2,C32,C4,C6,C8",C_Radial_D10.0mm_H16.0mm_P5.00mm,C88732,8
74AHCT125,"U1,U2",TSSOP-14_4.4x5mm_P0.65mm,C36365,2
74HC4051,U12,TSSOP-16_4.4x5mm_P0.65mm,C352826,1
Conn_01x02,J1,AMASS_XT60PW-M_1x02_P7.20mm_Horizontal,C98732,1
ESD9L5.0ST5G,"D1,D11,D2,D3,D4,D5,D6,D7",D_SOD-923,C82326,8
INA226,U11,VSSOP-10_3x3mm_P0.5mm,C49851,1
Micro_SD_Card,J11,TF-SMD_TF-021B-H265,C498185,1
SS34,"D12,D8",D_SMA,C8678,2
TPS259251,"U13,U3,U4,U5,U6,U7,U8,U9",VSON-10-1EP_3x3mm_P0.5mm_EP1.65x2.4mm_ThermalVias,C527680,8
TRA1600,F1,Fuse_Bourns_MF-RHT1300,C5678529,1
10K,R32,R_0603_1608Metric,,1
10K,R29,R_0603_1608Metric,,1
1K,R6,R_0603_1608Metric,,1
47K,R44,R_0603_1608Metric,,1
0.1uF,C19,C_0603_1608Metric,,1
47K,R39,R_0603_1608Metric,,1
0.1uF,C31,C_0603_1608Metric,,1
47K,R19,R_0603_1608Metric,,1
100K,R37,R_0603_1608Metric,,1
0.1uF,C7,C_0603_1608Metric,,1
330,R10,R_0603_1608Metric,,1
1K,R26,R_0603_1608Metric,,1
33K,R3,R_0603_1608Metric,,1
1K,R54,R_0603_1608Metric,,1
1K,R11,R_0603_1608Metric,,1
1K,R30,R_0603_1608Metric,,1
0.1uF,C27,C_0603_1608Metric,,1
0.1uF,C13,C_0603_1608Metric,,1
330,R35,R_0603_1608Metric,,1
100K,R12,R_0603_1608Metric,,1
33K,R38,R_0603_1608Metric,,1
33K,R18,R_0603_1608Metric,,1
0.1uF,C26,C_0603_1608Metric,,1
10K,R28,R_0603_1608Metric,,1
1K,R25,R_0603_1608Metric,,1
0.1uF,C5,C_0603_1608Metric,,1
1K,R41,R_0603_1608Metric,,1
330,R40,R_0603_1608Metric,,1
100K,R42,R_0603_1608Metric,,1
0.1uF,C9,C_0603_1608Metric,,1
1K,R21,R_0603_1608Metric,,1
33K,R43,R_0603_1608Metric,,1
33K,R23,R_0603_1608Metric,,1
330,R53,R_0603_1608Metric,,1
100K,R17,R_0603_1608Metric,,1
0.1uF,C24,C_0603_1608Metric,,1
10K,R52,R_0603_1608Metric,,1
47K,R9,R_0603_1608Metric,,1
0.1uF,C22,C_0603_1608Metric,,1
0.1uF,C28,C_0603_1608Metric,,1
1K,R16,R_0603_1608Metric,,1
100K,R2,R_0603_1608Metric,,1
TestPoint,TP1,TestPoint_THTPad_2.0x2.0mm_Drill1.0mm,,1
TestPoint,TP3,TestPoint_THTPad_D2.0mm_Drill1.0mm,,1
10K,TH1,R_0603_1608Metric,,1
330,R5,R_0603_1608Metric,,1
100K,R7,R_0603_1608Metric,,1
100K,R55,R_0603_1608Metric,,1
10K,R51,R_0603_1608Metric,,1
33K,R56,R_0603_1608Metric,,1
330,R45,R_0603_1608Metric,,1
10K,R33,R_0603_1608Metric,,1
47K,R24,R_0603_1608Metric,,1
0.1uF,C29,C_0603_1608Metric,,1
10K,R27,R_0603_1608Metric,,1
10K,TH2,R_0603_1608Metric,,1
1K,R36,R_0603_1608Metric,,1
0.1uF,C21,C_0603_1608Metric,,1
1K,R31,R_0603_1608Metric,,1
0.1uF,C1,C_0603_1608Metric,,1
1K,R1,R_0603_1608Metric,,1
0.1uF,C3,C_0603_1608Metric,,1
0.1uF,C30,C_0603_1608Metric,,1
47K,R14,R_0603_1608Metric,,1
0.1uF,C23,C_0603_1608Metric,,1
0.1uF,C11,C_0603_1608Metric,,1
0.1uF,C18,C_0603_1608Metric,,1
330,R20,R_0603_1608Metric,,1
0.1uF,C17,C_0603_1608Metric,,1
47K,R57,R_0603_1608Metric,,1
TestPoint,TP2,TestPoint_THTPad_D2.0mm_Drill1.0mm,,1
33K,R8,R_0603_1608Metric,,1
33K,R13,R_0603_1608Metric,,1
100K,R22,R_0603_1608Metric,,1
0.1uF,C20,C_0603_1608Metric,,1
330,R15,R_0603_1608Metric,,1
47K,R4,R_0603_1608Metric,,1
Conn_01x02,J9,JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,,1
10K,R46,R_0603_1608Metric,,1
